Title,Issue,Status,DateResolved,DateRaised,Asignee,RaisedBy,ClientName
,kindly sync tags for KCF508N,Resolved,25-04-2024,25-04-2024,Zeph Otieno,Busia SA,GMJV
,Sync tag for KBU583B,Resolved,19-04-2024,19-04-2024,Zeph Otieno,Busia SA,GMJV
,Tags for KCZ254V showing in Mariakani but closed in Busia,Resolved,7/3/2024,7/3/2024,Zeph Otieno,Busia SA,GMJV
,Busia scale not sending data to the software,Resolved,25-04-2024,25-04-2024,Zeph Otieno,Busia SA,GMJV
,Tags for KCA960P not closed in other weighbridges,Resolved,4/3/2024,4/3/2024,Zeph Otieno,Busia DM,GMJV
,Busia scale not sending data to the software,Resolved,16-04-2024,16-04-2024,Zeph Otieno,Busia SA,GMJV
,Prosecution settings not being saved,Resolved,16-04-2024,16-04-2024,Zeph Otieno,Busia SA ,GMJV
,Sync tags for kbx960e & KCJ876X,Resolved,5/3/2024,5/3/2024,Zeph Otieno,Busia DM,GMJV
,Error saving census data with typo,Resolved,8/4/2024,1/4/2024,Zeph Otieno,Rongo SA ,GMJV
,Error syncing tags for KDH349F closed in Webuye,Resolved,27-03-2024,27-03-2024,Zeph Otieno,Rongo SA ,GMJV
,Kindly the gray is not visible while weighing  the words are not clear,Resolved,15-04-2024,15-04-2024,Zeph Otieno,Rongo SA ,GMJV
,Axle assignments for 7 * KBP857E gives a GVW of more than 56T,Resolved,13/01/2024,13/1/2024,Zeph Otieno,Rongo SA ,GMJV
,Rongo Mobile  SA doesn’t  have user privileges for SA,Resolved,24-03-2024,24-03-2024,Zeph Otieno,Rongo SA ,GMJV
,Duty managers cant generate reports,Resolved,24-03-2024,24-03-20240,Zeph Otieno,Rongo SA ,GMJV
